 index   name  length   s     betx   alfx   phixetax   etaxp  betz   alfz   phiz   etaz   etazp    x      xp     z      zp
  63      SD2   0.39  25.83   8.97  -5.54   1.23  1011.38 520.97   8.44   2.68   0.67   0.00   0.00   0.00   0.00   0.00   0.00
  64       S8   0.00  26.22  13.82  -6.91   1.24  1214.56 520.97   6.50   2.30   0.67   0.00   0.00   0.00   0.00   0.00   0.00
  65      COR   0.00  26.22  13.82  -6.77   1.24  1214.56 514.79   6.50   2.23   0.67   0.00   0.00   0.00   0.00   0.00   0.00
  66      SD3   0.20  26.22  13.82  -6.77   1.24  1214.56 792.69   6.50   2.23   0.67   0.00   0.00   0.00   0.00   0.00   0.00
  67       Q7   0.46  26.42  16.67  -7.45   1.24  1373.09 792.69   5.64   2.05   0.68   0.00   0.00   0.00   0.00   0.00   0.00
  68      BPM   0.00  26.88  15.51   9.56   1.24  1400.20 -679.48   6.42  -4.01   0.69   0.00   0.00   0.00  -0.00   0.00   0.00
  69      SD4   0.39  26.88  15.51   9.56   1.24  1400.20 -679.48   6.42  -4.01   0.69   0.00   0.00   0.00  -0.00   0.00   0.00
  70       S7   0.00  27.27   8.96   7.24   1.25  1135.20 -679.48   9.95  -5.04   0.70   0.00   0.00   0.00  -0.00   0.00   0.00
  71      COR   0.00  27.27   8.96   7.13   1.25  1135.20 -673.03   9.95  -4.93   0.70   0.00   0.00   0.00  -0.00   0.00   0.00
  72      SD5   0.20  27.27   8.96   7.13   1.25  1135.20 -673.03   9.95  -4.93   0.70   0.00   0.00   0.00  -0.00   0.00   0.00
  73       Q6   0.32  27.47   6.34   5.98   1.25  1000.60 -673.03  12.03  -5.44   0.70   0.00   0.00   0.00  -0.00   0.00   0.00
  74      SD7   0.44  27.79   3.59   2.95   1.26  838.93 -346.99  14.17  -1.01   0.71   0.00   0.00   0.00  -0.00   0.00   0.00
  75     BEND   1.05  28.23   1.51   1.76   1.29  686.26 -346.99  15.09  -1.07   0.71   0.00   0.00   0.00  -0.00   0.00   0.00
  76      SD7   0.44  29.29   0.79  -1.07   1.59  323.52 -346.79  16.88  -0.60   0.72   0.00   0.00   0.00  -0.00   0.00   0.00
  77       Q9   0.32  29.73   2.26  -2.26   1.64  170.93 -346.79  17.42  -0.63   0.73   0.00   0.00   0.00  -0.00   0.00   0.00
  78      SD8   0.20  30.05   4.59  -5.43   1.66  71.73 -282.14  14.95   7.92   0.73   0.00   0.00   0.00  -0.00   0.00   0.00
  79       S9   0.00  30.25   7.03  -6.76   1.67  15.30 -282.14  11.95   7.07   0.73   0.00   0.00   0.00  -0.00   0.00   0.00
  80      COR   0.00  30.25   7.03  -6.76   1.67  15.30 -282.14  11.95   7.07   0.73   0.00   0.00   0.00  -0.00   0.00   0.00
  81      BPM   0.00  30.25   7.03  -6.76   1.67  15.30 -282.14  11.95   7.07   0.73   0.00   0.00   0.00  -0.00   0.00   0.00
  82      SD9   0.48  30.25   7.03  -6.76   1.67  15.30 -282.14  11.95   7.07   0.73   0.00   0.00   0.00  -0.00   0.00   0.00
  83      Q10   0.32  30.72  14.98  -9.93   1.67 -119.10 -282.14   6.19   5.04   0.74   0.00   0.00  -0.00  -0.00   0.00   0.00
  84      SD8   0.20  31.04  18.34   0.14   1.68 -194.63 -181.98   4.31   1.22   0.75   0.00   0.00  -0.00  -0.00   0.00   0.00
  85      S10   0.00  31.24  18.28   0.13   1.68 -231.02 -181.98   3.84   1.10   0.76   0.00   0.00  -0.00  -0.00   0.00   0.00
  86      COR   0.00  31.24  18.28   0.11   1.68 -231.02 -182.08   3.84   1.11   0.76   0.00   0.00  -0.00  -0.00   0.00   0.00
  87     FCOR   0.00  31.24  18.28   0.11   1.68 -231.02  50.48   3.84   1.11   0.76   0.00   0.00  -0.00   0.00   0.00   0.00
  88      BPM   0.00  31.24  18.28   0.11   1.68 -231.02  50.48   3.84   1.11   0.76   0.00   0.00  -0.00   0.00   0.00   0.00
  89     SDAC   1.90  31.24  18.28   0.11   1.68 -231.02  50.48   3.84   1.11   0.76   0.00   0.00  -0.00   0.00   0.00   0.00
  90     SDAC   1.90  33.15  18.04   0.01   1.69 -134.87  50.48   1.72   0.00   0.89   0.00   0.00  -0.00   0.00   0.00   0.00
  91      BPM   0.00  35.05  18.21  -0.10   1.71 -38.72  50.48   3.81  -1.10   1.03   0.00   0.00  -0.00   0.00   0.00   0.00
  92     FCOR   0.00  35.05  18.21  -0.10   1.71 -38.72  50.48   3.81  -1.10   1.03   0.00   0.00  -0.00   0.00   0.00   0.00
  93      S10   0.00  35.05  18.21  -0.10   1.71 -38.72  50.48   3.81  -1.10   1.03   0.00   0.00  -0.00   0.00   0.00   0.00
  94      COR   0.00  35.05  18.21  -0.10   1.71 -38.72  50.48   3.81  -1.10   1.03   0.00   0.00  -0.00   0.00   0.00   0.00
  95      SD8   0.20  35.05  18.21  -0.10   1.71 -38.72 -15.02   3.81  -1.10   1.03   0.00   0.00  -0.00  -0.00   0.00   0.00
  96      Q10   0.32  35.25  18.25  -0.11   1.71 -41.73 -15.02   4.28  -1.22   1.03   0.00   0.00  -0.00  -0.00   0.00   0.00
  97      SD9   0.48  35.57  14.89   9.90   1.72 -42.25  11.79   6.15  -5.01   1.04   0.00   0.00  -0.00   0.00   0.00   0.00
  98      BPM   0.00  36.05   6.97   6.73   1.72 -36.64  11.79  11.88  -7.03   1.05   0.00   0.00  -0.00   0.00   0.00   0.00
  99       S9   0.00  36.05   6.97   6.73   1.72 -36.64  11.79  11.88  -7.03   1.05   0.00   0.00  -0.00   0.00   0.00   0.00
 100      COR   0.00  36.05   6.97   6.73   1.72 -36.64  11.80  11.88  -7.03   1.05   0.00   0.00  -0.00   0.00   0.00   0.00
 101      SD8   0.20  36.05   6.97   6.73   1.72 -36.64  11.80  11.88  -7.03   1.05   0.00   0.00  -0.00   0.00   0.00   0.00
 102       Q9   0.32  36.25   4.54   5.40   1.73 -34.28  11.80  14.87  -7.88   1.05   0.00   0.00  -0.00   0.00   0.00   0.00
 103      SD7   0.44  36.57   2.22   2.25   1.75 -33.40  -6.24  17.33   0.62   1.06   0.00   0.00  -0.00  -0.00   0.00   0.00
 104     BEND   1.05  37.01   0.77   1.05   1.80 -36.15  -6.24  16.80   0.59   1.06   0.00   0.00  -0.00  -0.00   0.00   0.00
 105      SD7   0.44  38.06   1.56  -1.81   2.10 -42.56  -6.04  15.04   1.06   1.07   0.00   0.00  -0.00  -0.00   0.00   0.00
 106       Q6   0.32  38.50   3.69  -3.02   2.13 -45.22  -6.04  14.14   1.00   1.08   0.00   0.00  -0.00  -0.00   0.00   0.00
 107      SD5   0.20  38.82   6.50  -6.10   2.14 -49.80 -22.88  12.00   5.42   1.08   0.00   0.00  -0.00  -0.00   0.00   0.00
 108       S7   0.00  39.02   9.17  -7.28   2.14 -54.38 -22.88   9.94   4.91   1.08   0.00   0.00  -0.00  -0.00   0.00   0.00
 109      COR   0.00  39.02   9.17  -7.27   2.14 -54.38 -22.87   9.94   4.91   1.08   0.00   0.00  -0.00  -0.00   0.00   0.00
 110      SD4   0.39  39.02   9.17  -7.27   2.14 -54.38 -22.87   9.94   4.91   1.08   0.00   0.00  -0.00  -0.00   0.00   0.00
 111      BPM   0.00  39.41  15.74  -9.56   2.15 -63.30 -22.87   6.49   3.92   1.09   0.00   0.00  -0.00  -0.00   0.00   0.00
 112       Q7   0.46  39.41  15.74  -9.56   2.15 -63.30 -22.87   6.49   3.92   1.09   0.00   0.00  -0.00  -0.00   0.00   0.00
 113      SD3   0.20  39.87  16.79   7.64   2.15 -58.74  41.91   5.82  -2.24   1.10   0.00   0.00  -0.00   0.00   0.00   0.00
 114       S8   0.00  40.07  13.88   6.93   2.15 -50.35  41.91   6.76  -2.45   1.11   0.00   0.00  -0.00   0.00   0.00   0.00
 115      COR   0.00  40.07  13.88   6.93   2.15 -50.35  41.90   6.76  -2.45   1.11   0.00   0.00  -0.00   0.00   0.00   0.00
 116      SD2   0.39  40.07  13.88   6.93   2.15 -50.35  22.32   6.76  -2.45   1.11   0.00   0.00  -0.00   0.00   0.00   0.00
 117       Q8   0.32  40.46   9.01   5.55   2.16 -41.65  22.32   8.83  -2.85   1.12   0.00   0.00  -0.00   0.00   0.00   0.00
 118     FCOR   0.00  40.78   7.08   0.84   2.17 -37.98   0.94   9.10   2.06   1.12   0.00   0.00  -0.00   0.00   0.00   0.00
 119      BPM   0.00  40.78   7.08   0.84   2.17 -37.98   0.94   9.10   2.06   1.12   0.00   0.00  -0.00   0.00   0.00   0.00
 120     SD13   3.48  40.78   7.08   0.84   2.17 -37.98   0.94   9.10   2.06   1.12   0.00   0.00  -0.00   0.00   0.00   0.00
 121     SD13   3.48  44.26   4.16   0.00   2.28 -34.70   0.94   1.74   0.05   1.29   0.00   0.00  -0.00   0.00   0.00   0.00
 122      BPM   0.00  47.74   7.07  -0.84   2.39 -31.43   0.94   8.39  -1.96   1.48   0.00   0.00  -0.00   0.00   0.00   0.00
 123     FCOR   0.00  47.74   7.07  -0.84   2.39 -31.43   0.94   8.39  -1.96   1.48   0.00   0.00  -0.00   0.00   0.00   0.00
 124       Q8   0.32  47.74   7.07  -0.84   2.39 -31.43   0.94   8.39  -1.96   1.48   0.00   0.00  -0.00   0.00   0.00   0.00
 125      SD2   0.39  48.06   9.01  -5.55   2.40 -33.90 -16.59   8.18   2.57   1.48   0.00   0.00  -0.00  -0.00   0.00   0.00
 126       S8   0.00  48.45  13.87  -6.93   2.40 -40.37 -16.59   6.31   2.21   1.49   0.00   0.00  -0.00  -0.00   0.00   0.00
 127      COR   0.00  48.45  13.87  -6.93   2.40 -40.37 -16.60   6.31   2.21   1.49   0.00   0.00  -0.00  -0.00   0.00   0.00
 128      SD3   0.20  48.45  13.87  -6.93   2.40 -40.37 -36.19   6.31   2.21   1.49   0.00   0.00  -0.00  -0.00   0.00   0.00
 129       Q7   0.46  48.65  16.78  -7.64   2.40 -47.60 -36.19   5.46   2.03   1.50   0.00   0.00  -0.00  -0.00   0.00   0.00
 130      BPM   0.00  49.11  15.73   9.56   2.41 -52.24  16.82   6.18  -3.82   1.51   0.00   0.00  -0.00   0.00   0.00   0.00
 131      SD4   0.39  49.11  15.73   9.56   2.41 -52.24  16.82   6.18  -3.82   1.51   0.00   0.00  -0.00   0.00   0.00   0.00
 132       S7   0.00  49.50   9.17   7.27   2.41 -45.68  16.82   9.54  -4.80   1.52   0.00   0.00  -0.00   0.00   0.00   0.00
 133      COR   0.00  49.50   9.17   7.27   2.41 -45.68  16.83   9.54  -4.80   1.52   0.00   0.00  -0.00   0.00   0.00   0.00
 134      SD5   0.20  49.50   9.17   7.27   2.41 -45.68  16.83   9.54  -4.80   1.52   0.00   0.00  -0.00   0.00   0.00   0.00
 135       Q6   0.32  49.70   6.50   6.10   2.42 -42.32  16.83  11.56  -5.31   1.52   0.00   0.00  -0.00   0.00   0.00   0.00
 136      SD7   0.44  50.02   3.69   3.01   2.43 -39.28   2.36  13.68  -1.06   1.53   0.00   0.00  -0.00   0.00   0.00   0.00
 137     BEND   1.05  50.46   1.56   1.81   2.46 -38.24   2.36  14.64  -1.13   1.53   0.00   0.00  -0.00   0.00   0.00   0.00
 138      SD7   0.44  51.52   0.77  -1.05   2.76 -35.66   2.56  16.58  -0.68   1.54   0.00   0.00  -0.00   0.00   0.00   0.00
 139       Q9   0.32  51.96   2.22  -2.25   2.81 -34.54   2.56  17.19  -0.72   1.54   0.00   0.00  -0.00   0.00   0.00   0.00
 140      SD8   0.20  52.28   4.54  -5.40   2.83 -36.72 -16.42  14.80   7.75   1.55   0.00   0.00  -0.00  -0.00   0.00   0.00
 141       S9   0.00  52.48   6.97  -6.73   2.83 -40.01 -16.42  11.87   6.93   1.55   0.00   0.00  -0.00  -0.00   0.00   0.00
 142      COR   0.00  52.48   6.97  -6.73   2.83 -40.01 -16.42  11.87   6.92   1.55   0.00   0.00  -0.00  -0.00   0.00   0.00
 143      BPM   0.00  52.48   6.97  -6.73   2.83 -40.01 -16.42  11.87   6.92   1.55   0.00   0.00  -0.00  -0.00   0.00   0.00
 144      SD9   0.48  52.48   6.97  -6.73   2.83 -40.01 -16.42  11.87   6.92   1.55   0.00   0.00  -0.00  -0.00   0.00   0.00
 145      Q10   0.32  52.95  14.89  -9.90   2.84 -47.83 -16.42   6.21   4.96   1.56   0.00   0.00  -0.00  -0.00   0.00   0.00
 146      SD8   0.20  53.27  18.25   0.11   2.84 -48.19  14.23   4.38   1.14   1.57   0.00   0.00  -0.00   0.00   0.00   0.00
 147      S10   0.00  53.47  18.21   0.10   2.84 -45.34  14.23   3.94   1.04   1.58   0.00   0.00  -0.00   0.00   0.00   0.00
 148      COR   0.00  53.47  18.21   0.10   2.84 -45.34  14.23   3.94   1.04   1.58   0.00   0.00  -0.00   0.00   0.00   0.00
 149     FCOR   0.00  53.47  18.21   0.10   2.84 -45.34  -0.97   3.94   1.04   1.58   0.00   0.00  -0.00  -0.00   0.00   0.00
 150      BPM   0.00  53.47  18.21   0.10   2.84 -45.34  -0.97   3.94   1.04   1.58   0.00   0.00  -0.00  -0.00   0.00   0.00
 151     SDAC   1.90  53.47  18.21   0.10   2.84 -45.34  -0.97   3.94   1.04   1.58   0.00   0.00  -0.00  -0.00   0.00   0.00
 152     SDAC   1.90  55.38  18.04  -0.01   2.86 -47.19  -0.97   1.90   0.03   1.70   0.00   0.00  -0.00  -0.00   0.00   0.00
 153      BPM   0.00  57.28  18.28  -0.11   2.88 -49.03  -0.97   3.68  -0.97   1.83   0.00   0.00  -0.00  -0.00   0.00   0.00
 154     FCOR   0.00  57.28  18.28  -0.11   2.88 -49.03  -0.97   3.68  -0.97   1.83   0.00   0.00  -0.00  -0.00   0.00   0.00
 155      S10   0.00  57.28  18.28  -0.11   2.88 -49.03  -0.97   3.68  -0.97   1.83   0.00   0.00  -0.00  -0.00   0.00   0.00
 156      COR   0.00  57.28  18.28  -0.12   2.88 -49.03  -0.97   3.68  -0.97   1.83   0.00   0.00  -0.00  -0.00   0.00   0.00
 157      SD8   0.20  57.28  18.28  -0.12   2.88 -49.03 -16.17   3.68  -0.97   1.83   0.00   0.00  -0.00  -0.00   0.00   0.00
 158      Q10   0.32  57.48  18.32  -0.13   2.88 -52.27 -16.17   4.09  -1.08   1.84   0.00   0.00  -0.00  -0.00   0.00   0.00
 159      SD9   0.48  57.80  14.96   9.93   2.88 -52.11  17.15   5.81  -4.66   1.85   0.00   0.00  -0.00   0.00   0.00   0.00
 160      BPM   0.00  58.28   7.01   6.76   2.89 -43.94  17.15  11.14  -6.52   1.86   0.00   0.00  -0.00   0.00   0.00   0.00
 161       S9   0.00  58.28   7.01   6.76   2.89 -43.94  17.15  11.14  -6.52   1.86   0.00   0.00  -0.00   0.00   0.00   0.00
 162      COR   0.00  58.28   7.01   6.76   2.89 -43.94  17.16  11.14  -6.52   1.86   0.00   0.00  -0.00   0.00   0.00   0.00
 163      SD8   0.20  58.28   7.01   6.76   2.89 -43.94  17.16  11.14  -6.52   1.86   0.00   0.00  -0.00   0.00   0.00   0.00
 164       Q9   0.32  58.48   4.57   5.43   2.90 -40.50  17.16  13.90  -7.30   1.86   0.00   0.00  -0.00   0.00   0.00   0.00
 165      SD7   0.44  58.80   2.25   2.26   2.91 -38.41  -3.86  16.16   0.65   1.86   0.00   0.00  -0.00  -0.00   0.00   0.00
 166     BEND   1.05  59.24   0.78   1.06   2.97 -40.11  -3.86  15.61   0.61   1.87   0.00   0.00  -0.00  -0.00   0.00   0.00
 167      SD7   0.44  60.29   1.54  -1.79   3.26 -44.05  -3.67  13.86   1.03   1.88   0.00   0.00  -0.00  -0.00   0.00   0.00
 168       Q6   0.32  60.73   3.64  -2.99   3.29 -45.66  -3.67  12.98   0.96   1.88   0.00   0.00  -0.00  -0.00   0.00   0.00
 169      SD5   0.20  61.05   6.42  -6.04   3.30 -49.50 -20.53  10.99   5.01   1.89   0.00   0.00  -0.00  -0.00   0.00   0.00
 170       S7   0.00  61.25   9.07  -7.21   3.31 -53.60 -20.53   9.09   4.53   1.89   0.00   0.00  -0.00  -0.00   0.00   0.00
 171      COR   0.00  61.25   9.07  -7.20   3.31 -53.60 -20.52   9.09   4.53   1.89   0.00   0.00  -0.00  -0.00   0.00   0.00
 172      SD4   0.39  61.25   9.07  -7.20   3.31 -53.60 -20.52   9.09   4.53   1.89   0.00   0.00  -0.00  -0.00   0.00   0.00
 173      BPM   0.00  61.64  15.57  -9.48   3.31 -61.60 -20.52   5.92   3.60   1.90   0.00   0.00  -0.00  -0.00   0.00   0.00
 174       Q7   0.46  61.64  15.57  -9.48   3.31 -61.60 -20.52   5.92   3.60   1.90   0.00   0.00  -0.00  -0.00   0.00   0.00
 175      SD3   0.20  62.10  16.63   7.55   3.32 -56.43  42.14   5.28  -2.02   1.91   0.00   0.00  -0.00   0.00   0.00   0.00
 176       S8   0.00  62.30  13.75   6.85   3.32 -48.00  42.14   6.13  -2.21   1.92   0.00   0.00  -0.00   0.00   0.00   0.00
 177      COR   0.00  62.30  13.75   6.85   3.32 -48.00  42.13   6.13  -2.21   1.92   0.00   0.00  -0.00   0.00   0.00   0.00
 178      SD2   0.39  62.30  13.75   6.85   3.32 -48.00  22.51   6.13  -2.21   1.92   0.00   0.00  -0.00   0.00   0.00   0.00
 179       Q8   0.32  62.69   8.94   5.49   3.33 -39.22  22.51   8.00  -2.58   1.93   0.00   0.00  -0.00   0.00   0.00   0.00
 180     FCOR   0.00  63.01   7.03   0.81   3.33 -35.28   2.51   8.24   1.86   1.93   0.00   0.00  -0.00   0.00   0.00   0.00
 181      BPM   0.00  63.01   7.03   0.81   3.33 -35.28   2.51   8.24   1.86   1.93   0.00   0.00  -0.00   0.00   0.00   0.00
 182     SD13   3.48  63.01   7.03   0.81   3.33 -35.28   2.51   8.24   1.86   1.93   0.00   0.00  -0.00   0.00   0.00   0.00
 183     SD13   3.48  66.49   4.23  -0.01   3.44 -26.53   2.51   1.85  -0.03   2.11   0.00   0.00  -0.00   0.00   0.00   0.00
 184      BPM   0.00  69.98   7.16  -0.83   3.55 -17.79   2.51   8.60  -1.91   2.28   0.00   0.00  -0.00   0.00   0.00   0.00
 185     FCOR   0.00  69.98   7.16  -0.83   3.55 -17.79   2.51   8.60  -1.91   2.28   0.00   0.00  -0.00   0.00   0.00   0.00
 186       Q8   0.32  69.98   7.16  -0.83   3.55 -17.79   2.51   8.60  -1.91   2.28   0.00   0.00  -0.00   0.00   0.00   0.00
